building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
house,265000,1953,justrenovated,gas,3,Antwerp
apartment,399000,2014,good,gas,2,Antwerp
house,289000,2002,justrenovated,gas,3,Antwerp
apartment,480000,1980,good,gas,3,Antwerp
apartment,289000,1955,good,gas,2,Antwerp
apartment,490000,2011,justrenovated,gas,2,Antwerp
house,325000,1952,torenovate,gas,3,Antwerp
apartment,595000,2005,good,gas,3,Antwerp
apartment,599000,1961,good,gas,3,Antwerp
house,325000,1970,justrenovated,gas,3,Antwerp
apartment,745000,1923,good,gas,2,Antwerp
apartment,745000,1923,good,gas,2,Antwerp
apartment,500000,2020,good,gas,2,Antwerp
house,586000,2006,good,gas,4,Antwerp
house,585000,1993,justrenovated,gas,4,Antwerp
house,349000,2001,torenovate,wood,2,Antwerp
apartment,120000,1911,torenovate,gas,1,Antwerp
apartment,281750,2021,justrenovated,gas,2,Antwerp
apartment,175000,1991,torenovate,gas,2,Antwerp
apartment,149000,1968,torenovate,gas,1,Antwerp
apartment,159000,1970,justrenovated,gas,1,Antwerp
apartment,239000,2009,good,gas,2,Antwerp
apartment,595000,1992,justrenovated,gas,3,Antwerp
apartment,365000,1969,justrenovated,gas,2,Antwerp
house,497000,1978,good,gas,3,Antwerp
house,569000,1999,justrenovated,gas,4,Antwerp
house,230000,1963,torenovate,fueloil,4,Antwerp
apartment,270000,1992,justrenovated,gas,2,Antwerp
house,295000,1955,torenovate,gas,4,Antwerp
apartment,315000,2023,justrenovated,gas,1,Antwerp
house,395000,1975,good,gas,2,Antwerp
house,460000,1987,good,fueloil,4,Antwerp
apartment,350000,2017,good,gas,3,Antwerp
apartment,329000,1967,good,gas,2,Antwerp
apartment,299000,2022,justrenovated,gas,2,Antwerp
house,499000,1890,justrenovated,gas,3,Antwerp
house,498000,2002,justrenovated,gas,3,Antwerp
house,470000,1996,good,fueloil,3,Antwerp
apartment,259000,2015,good,gas,2,Antwerp
house,464000,1993,justrenovated,gas,3,Antwerp
apartment,199000,2017,good,gas,1,Antwerp
house,210000,1947,good,fueloil,2,Antwerp
house,399000,1965,justrenovated,gas,3,Antwerp
apartment,265000,1953,good,gas,2,Antwerp
house,649000,1964,justrenovated,fueloil,4,Antwerp
house,629900,1968,good,gas,4,Antwerp
house,465000,2002,good,gas,3,Antwerp
house,487000,1960,justrenovated,gas,4,Antwerp
house,489000,1987,good,gas,4,Antwerp
house,499000,1976,good,gas,3,Antwerp
house,775000,1821,good,gas,6,Antwerp
apartment,400000,1995,good,gas,2,Antwerp
apartment,649000,1929,good,gas,2,Antwerp
apartment,159000,1930,justrenovated,gas,1,Antwerp
apartment,565000,1924,justrenovated,gas,2,Antwerp
house,337500,2022,good,gas,3,Antwerp
house,398000,1964,good,gas,3,Antwerp
apartment,199000,1962,good,fueloil,2,Antwerp
apartment,320000,2023,justrenovated,gas,1,Antwerp
house,325000,1970,good,gas,5,Antwerp
house,795000,1900,good,gas,4,Antwerp
apartment,225000,1967,torenovate,gas,3,Antwerp
apartment,470000,2013,good,gas,2,Antwerp
house,695000,1986,good,gas,3,Antwerp
