building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
apartment,545000,2022,good,gas,3,Brussels
apartment,215000,1978,good,gas,1,Brussels
apartment,359000,2006,justrenovated,gas,3,Brussels
house,375000,1959,torenovate,fueloil,3,Brussels
apartment,143500,2000,good,electric,2,Brussels
apartment,500000,1935,torenovate,gas,4,Brussels
apartment,279000,1997,justrenovated,electric,2,Brussels
apartment,275000,1957,good,fueloil,2,Brussels
apartment,750000,1947,justrenovated,gas,3,Brussels
house,795000,1973,good,gas,5,Brussels
apartment,189000,1970,good,gas,2,Brussels
apartment,339000,1959,torenovate,gas,2,Brussels
apartment,345000,2012,good,electric,1,Brussels
apartment,499000,1920,justrenovated,gas,3,Brussels
apartment,449000,1979,good,gas,3,Brussels
apartment,445000,2006,torenovate,gas,3,Brussels
apartment,175000,1966,torenovate,gas,3,Brussels
house,595000,1900,good,gas,6,Brussels
house,640000,1970,justrenovated,gas,5,Brussels
apartment,395000,1950,torenovate,gas,3,Brussels
house,695000,1940,good,gas,4,Brussels
apartment,499000,1938,justrenovated,gas,2,Brussels
house,535000,1950,torenovate,fueloil,3,Brussels
house,535000,1965,good,gas,3,Brussels
apartment,345000,1967,justrenovated,gas,2,Brussels
house,495000,1886,justrenovated,gas,4,Brussels
house,399000,1927,good,gas,3,Brussels
apartment,239000,1960,justrenovated,gas,2,Brussels
house,349000,1957,good,gas,3,Brussels
house,395000,1930,justrenovated,gas,4,Brussels
house,389000,1900,torenovate,gas,5,Brussels
house,390000,1950,torenovate,gas,3,Brussels
apartment,215000,1930,good,gas,1,Brussels
apartment,650000,2011,justrenovated,gas,3,Brussels
apartment,695000,2015,justrenovated,gas,2,Brussels
apartment,400000,1990,good,gas,1,Brussels
apartment,329000,1962,justrenovated,fueloil,3,Brussels
apartment,495000,1970,good,gas,3,Brussels
apartment,220000,1967,good,fueloil,2,Brussels
apartment,380000,1978,good,gas,2,Brussels
apartment,625000,1927,justrenovated,gas,3,Brussels
house,495000,1900,good,gas,2,Brussels
house,495000,1952,good,gas,3,Brussels
house,430000,1930,torenovate,gas,2,Brussels
house,450000,1950,justrenovated,gas,3,Brussels
apartment,499000,1938,justrenovated,gas,2,Brussels
apartment,309000,2022,justrenovated,gas,1,Brussels
apartment,248904,2022,good,gas,1,Brussels
apartment,248904,2022,good,gas,1,Brussels
apartment,309000,2022,justrenovated,gas,1,Brussels
apartment,429000,2022,justrenovated,gas,2,Brussels
apartment,429000,2022,justrenovated,gas,2,Brussels
apartment,424000,2022,justrenovated,gas,2,Brussels
house,465000,1935,justrenovated,gas,4,Brussels
apartment,244800,2022,justrenovated,gas,1,Brussels
apartment,225000,1970,good,gas,2,Brussels
apartment,329000,2008,justrenovated,gas,3,Brussels
house,465000,1935,justrenovated,gas,4,Brussels
house,449000,1930,justrenovated,gas,4,Brussels
apartment,299000,1956,good,fueloil,2,Brussels
apartment,385000,2022,good,gas,5,Brussels
apartment,235000,1965,good,gas,2,Brussels
house,695000,1937,good,gas,5,Brussels
apartment,299000,1966,good,fueloil,3,Brussels
house,545000,1918,justrenovated,gas,4,Brussels
house,749000,1975,good,gas,8,Brussels
apartment,280000,1933,justrenovated,gas,1,Brussels
house,565000,1973,good,fueloil,5,Brussels
house,375000,1950,torenovate,gas,4,Brussels
house,539000,1935,torenovate,gas,6,Brussels
apartment,485000,2000,good,gas,3,Brussels
apartment,185000,1968,justrenovated,gas,2,Brussels
apartment,245000,1997,good,gas,1,Brussels
apartment,179000,1936,justrenovated,gas,1,Brussels
house,680000,1931,justrenovated,fueloil,3,Brussels
apartment,320000,1958,justrenovated,gas,1,Brussels
house,499000,1957,justrenovated,gas,4,Brussels
apartment,160000,1975,justrenovated,gas,1,Brussels
apartment,285000,2021,justrenovated,gas,1,Brussels
house,495000,1991,justrenovated,gas,4,Brussels
apartment,515000,1986,justrenovated,gas,2,Brussels
apartment,285000,1968,good,fueloil,3,Brussels
house,525000,1938,good,gas,4,Brussels
house,650000,1961,torenovate,fueloil,4,Brussels
house,720000,1960,good,gas,4,Brussels
apartment,298000,1972,good,gas,3,Brussels
apartment,298000,1972,good,gas,3,Brussels
apartment,450000,1991,good,gas,3,Brussels
house,592000,2022,justrenovated,gas,4,Brussels
house,379000,1930,good,gas,3,Brussels
apartment,350000,1956,good,fueloil,2,Brussels
apartment,350000,2015,justrenovated,gas,2,Brussels
house,615000,1986,good,gas,5,Brussels
house,425000,1928,torenovate,gas,3,Brussels
house,635000,1900,good,gas,6,Brussels
house,720000,1948,torenovate,gas,4,Brussels
apartment,345000,2010,justrenovated,electric,2,Brussels
apartment,360000,1990,good,gas,2,Brussels
apartment,339000,1960,good,gas,3,Brussels
house,369000,1973,good,gas,1,Brussels
apartment,340000,1980,justrenovated,gas,2,Brussels
apartment,339000,1972,torenovate,fueloil,2,Brussels
house,430000,1963,torenovate,gas,3,Brussels
apartment,399999,1964,good,gas,2,Brussels
house,419000,1959,torenovate,fueloil,3,Brussels
house,745000,1949,good,gas,5,Brussels
house,745000,1949,good,gas,5,Brussels
house,780000,1968,good,gas,4,Brussels
house,650000,1961,torenovate,fueloil,4,Brussels
house,450000,1938,torenovate,gas,3,Brussels
apartment,295000,1991,good,gas,1,Brussels
house,725000,1956,good,gas,4,Brussels
house,720000,1913,torenovate,fueloil,5,Brussels
apartment,325000,2002,justrenovated,gas,3,Brussels
apartment,185000,1950,torenovate,gas,1,Brussels
house,699000,1900,torenovate,gas,6,Brussels
apartment,250000,1956,good,fueloil,1,Brussels
house,695000,1932,good,gas,5,Brussels
house,675000,1930,good,gas,4,Brussels
house,650000,1928,torenovate,gas,5,Brussels
house,599000,1920,torenovate,gas,4,Brussels
apartment,595000,1900,justrenovated,gas,3,Brussels
house,729000,1955,justrenovated,gas,4,Brussels
house,750000,1982,torenovate,gas,11,Brussels
apartment,199000,1930,good,gas,1,Brussels
apartment,179000,1958,good,electric,2,Brussels
apartment,385000,2023,good,gas,3,Brussels
apartment,525000,1977,good,gas,3,Brussels
apartment,325000,2022,justrenovated,gas,2,Brussels
apartment,248000,2020,justrenovated,gas,1,Brussels
house,525000,1930,torenovate,gas,4,Brussels
apartment,550000,2006,justrenovated,gas,3,Brussels
house,710000,2021,justrenovated,gas,3,Brussels
apartment,349000,1962,torenovate,gas,2,Brussels
apartment,385000,1912,torenovate,fueloil,2,Brussels
house,795000,1930,good,gas,5,Brussels
house,780000,1912,torenovate,gas,6,Brussels
apartment,295000,1900,torenovate,gas,2,Brussels
apartment,325000,1972,good,fueloil,2,Brussels
apartment,265000,1978,justrenovated,gas,1,Brussels
house,595000,1974,justrenovated,gas,4,Brussels
apartment,499900,1936,good,fueloil,2,Brussels
house,429000,1934,torenovate,gas,4,Brussels
house,580000,1910,torenovate,gas,4,Brussels
apartment,570000,1968,justrenovated,gas,2,Brussels
apartment,479000,1987,good,gas,3,Brussels
apartment,299500,2014,justrenovated,gas,2,Brussels
house,675000,1955,justrenovated,gas,3,Brussels
apartment,386000,1973,good,gas,2,Brussels
apartment,370000,2022,justrenovated,gas,2,Brussels
apartment,370000,1969,torenovate,gas,2,Brussels
apartment,370000,2022,justrenovated,gas,2,Brussels
apartment,365000,1978,good,electric,2,Brussels
apartment,465000,2016,good,gas,2,Brussels
house,449000,1960,good,gas,5,Brussels
house,600000,1972,torenovate,fueloil,5,Brussels
apartment,219000,1955,good,gas,2,Brussels
apartment,495000,1973,good,electric,2,Brussels
apartment,265000,2020,good,gas,1,Brussels
apartment,550000,2006,justrenovated,gas,3,Brussels
house,625000,1954,good,gas,3,Brussels
house,645000,1910,torenovate,gas,4,Brussels
apartment,225000,1967,good,gas,2,Brussels
house,795000,1955,torenovate,gas,7,Brussels
apartment,220000,2024,good,gas,1,Brussels
apartment,220000,2024,good,gas,1,Brussels
apartment,245000,1940,good,electric,1,Brussels
apartment,345000,1986,justrenovated,gas,2,Brussels
house,379000,1940,good,gas,5,Brussels
apartment,430000,2006,good,gas,2,Brussels
apartment,169000,1965,good,fueloil,2,Brussels
apartment,580000,2013,justrenovated,gas,3,Brussels
apartment,340000,1983,good,gas,1,Brussels
apartment,670000,1990,justrenovated,gas,2,Brussels
apartment,159000,1975,good,gas,1,Brussels
apartment,159000,1975,good,gas,1,Brussels
house,350000,1930,torenovate,gas,4,Brussels
apartment,196000,1960,torenovate,gas,1,Brussels
apartment,499000,2008,good,gas,3,Brussels
apartment,500000,1953,justrenovated,gas,1,Brussels
apartment,535000,1935,good,gas,2,Brussels
apartment,535000,2004,justrenovated,gas,2,Brussels
apartment,542000,1995,justrenovated,gas,2,Brussels
apartment,550000,2017,justrenovated,gas,2,Brussels
apartment,599000,1915,justrenovated,gas,4,Brussels
apartment,640000,2021,justrenovated,gas,6,Brussels
apartment,645000,1953,justrenovated,gas,2,Brussels
apartment,655000,1930,justrenovated,gas,4,Brussels
apartment,675000,2001,justrenovated,gas,2,Brussels
apartment,690000,2001,justrenovated,gas,2,Brussels
apartment,695000,1874,justrenovated,gas,3,Brussels
apartment,699000,2010,justrenovated,gas,3,Brussels
apartment,745000,2025,justrenovated,gas,3,Brussels
apartment,750000,1988,justrenovated,gas,3,Brussels
apartment,795000,1998,justrenovated,gas,2,Brussels
apartment,650000,1993,good,electric,2,Brussels
apartment,216000,1960,torenovate,gas,1,Brussels
apartment,245000,1964,torenovate,gas,2,Brussels
apartment,260000,1974,good,fueloil,3,Brussels
apartment,180000,1936,justrenovated,gas,1,Brussels
apartment,200000,1913,torenovate,electric,1,Brussels
apartment,235000,1940,torenovate,gas,2,Brussels
apartment,375000,1930,justrenovated,gas,2,Brussels
apartment,270000,1910,justrenovated,gas,1,Brussels
apartment,395000,1912,justrenovated,gas,4,Brussels
apartment,499000,2016,justrenovated,gas,2,Brussels
apartment,220000,2022,justrenovated,gas,1,Brussels
apartment,365000,1964,good,gas,3,Brussels
apartment,520000,2013,justrenovated,gas,3,Brussels
apartment,530000,1995,justrenovated,gas,2,Brussels
apartment,165000,1950,good,gas,1,Brussels
apartment,165000,1977,good,gas,1,Brussels
apartment,175000,1958,good,gas,2,Brussels
house,390000,1958,good,fueloil,3,Brussels
apartment,189000,1935,good,gas,2,Brussels
apartment,195000,1954,torenovate,gas,1,Brussels
apartment,229000,1960,good,gas,1,Brussels
apartment,495000,1995,justrenovated,gas,2,Brussels
apartment,582500,2021,justrenovated,gas,3,Brussels
apartment,465000,2021,justrenovated,gas,2,Brussels
apartment,265000,1956,good,gas,1,Brussels
apartment,290000,2011,good,gas,2,Brussels
apartment,355000,1900,justrenovated,gas,1,Brussels
apartment,365000,2009,justrenovated,gas,3,Brussels
apartment,365000,2009,justrenovated,gas,3,Brussels
apartment,415000,2013,good,gas,2,Brussels
apartment,430000,2006,justrenovated,gas,2,Brussels
apartment,445000,2004,good,electric,2,Brussels
apartment,475000,1969,good,fueloil,3,Brussels
apartment,485000,1971,justrenovated,gas,3,Brussels
apartment,448000,1910,justrenovated,gas,2,Brussels
apartment,310000,2020,justrenovated,gas,2,Brussels
apartment,350000,2021,justrenovated,gas,2,Brussels
apartment,403000,2024,justrenovated,gas,1,Brussels
apartment,429000,2020,justrenovated,gas,2,Brussels
apartment,499000,2021,justrenovated,gas,4,Brussels
apartment,245000,1977,justrenovated,gas,2,Brussels
apartment,495000,2015,justrenovated,gas,2,Brussels
apartment,480000,1953,justrenovated,gas,1,Brussels
apartment,265000,1984,torenovate,gas,2,Brussels
apartment,265000,1965,good,gas,2,Brussels
apartment,269000,1934,torenovate,gas,2,Brussels
apartment,275000,1930,good,gas,1,Brussels
apartment,275000,1920,good,gas,2,Brussels
apartment,279000,1951,good,gas,2,Brussels
apartment,280000,1964,torenovate,fueloil,2,Brussels
apartment,285000,2022,justrenovated,gas,1,Brussels
apartment,285000,2012,good,gas,2,Brussels
apartment,260000,1968,torenovate,fueloil,2,Brussels
apartment,285000,2022,justrenovated,gas,1,Brussels
apartment,290000,1964,good,fueloil,2,Brussels
apartment,292000,2025,justrenovated,gas,1,Brussels
apartment,295000,2022,justrenovated,gas,1,Brussels
apartment,295000,2012,good,gas,2,Brussels
apartment,295000,1909,justrenovated,gas,1,Brussels
apartment,295000,1930,justrenovated,gas,1,Brussels
apartment,295000,1980,justrenovated,gas,2,Brussels
apartment,296000,1890,good,gas,2,Brussels
apartment,285000,1961,good,fueloil,3,Brussels
apartment,299000,2022,justrenovated,gas,1,Brussels
apartment,259000,1997,good,gas,2,Brussels
apartment,250000,2010,justrenovated,electric,2,Brussels
apartment,225000,1970,good,gas,2,Brussels
apartment,225000,1960,torenovate,gas,2,Brussels
apartment,229999,1972,justrenovated,gas,2,Brussels
apartment,230000,1957,good,gas,2,Brussels
apartment,230000,1932,justrenovated,gas,1,Brussels
apartment,230000,1960,good,gas,2,Brussels
apartment,230000,1970,good,gas,1,Brussels
apartment,230000,1967,justrenovated,fueloil,1,Brussels
apartment,250000,1957,good,gas,1,Brussels
apartment,235000,1910,good,gas,1,Brussels
apartment,240000,1960,good,gas,1,Brussels
apartment,245000,1980,torenovate,gas,2,Brussels
apartment,245000,1997,torenovate,electric,2,Brussels
apartment,245000,1977,good,gas,2,Brussels
apartment,249000,1930,justrenovated,gas,1,Brussels
apartment,249000,1972,justrenovated,gas,2,Brussels
apartment,249000,1984,torenovate,gas,2,Brussels
apartment,250000,1980,torenovate,gas,2,Brussels
apartment,250000,1974,good,gas,2,Brussels
apartment,235000,1971,torenovate,gas,2,Brussels
apartment,299000,1970,good,gas,2,Brussels
apartment,299000,2022,justrenovated,gas,1,Brussels
apartment,299000,1950,torenovate,gas,4,Brussels
apartment,395000,1958,justrenovated,gas,3,Brussels
apartment,395000,1994,good,gas,2,Brussels
apartment,395000,1994,good,gas,2,Brussels
apartment,395000,1909,torenovate,gas,3,Brussels
apartment,395000,1994,good,gas,2,Brussels
apartment,395000,1910,justrenovated,gas,1,Brussels
apartment,399000,2017,justrenovated,gas,2,Brussels
apartment,410000,2021,justrenovated,gas,3,Brussels
apartment,410000,1957,good,gas,2,Brussels
apartment,395000,2025,justrenovated,gas,3,Brussels
apartment,425000,1959,good,gas,3,Brussels
apartment,425000,1891,justrenovated,gas,2,Brussels
apartment,429000,1964,justrenovated,gas,3,Brussels
apartment,429000,1964,justrenovated,gas,3,Brussels
apartment,435000,1950,good,fueloil,2,Brussels
apartment,445000,1963,good,gas,4,Brussels
apartment,450000,1965,good,gas,2,Brussels
apartment,450000,2003,justrenovated,gas,2,Brussels
apartment,465000,1910,justrenovated,gas,2,Brussels
apartment,475000,2019,justrenovated,gas,3,Brussels
apartment,425000,1959,good,gas,2,Brussels
apartment,395000,1994,good,gas,2,Brussels
apartment,390000,2004,good,electric,1,Brussels
apartment,375000,2017,justrenovated,gas,2,Brussels
apartment,299000,2013,good,gas,2,Brussels
apartment,299000,2009,good,gas,2,Brussels
apartment,305000,2002,good,gas,2,Brussels
apartment,309000,1960,good,gas,2,Brussels
apartment,310000,2016,justrenovated,gas,2,Brussels
apartment,310000,1910,justrenovated,gas,1,Brussels
apartment,319000,2018,justrenovated,gas,1,Brussels
apartment,319000,1960,torenovate,gas,2,Brussels
apartment,320000,1938,justrenovated,gas,2,Brussels
apartment,321000,2008,justrenovated,electric,3,Brussels
apartment,339990,2011,justrenovated,gas,3,Brussels
apartment,342000,2025,justrenovated,gas,2,Brussels
apartment,345000,1920,justrenovated,gas,2,Brussels
apartment,347000,2025,justrenovated,gas,2,Brussels
apartment,349000,2015,justrenovated,gas,1,Brussels
apartment,349000,1970,justrenovated,gas,2,Brussels
apartment,349000,1957,good,fueloil,2,Brussels
apartment,349500,1997,justrenovated,electric,2,Brussels
apartment,359000,1948,good,gas,4,Brussels
apartment,359000,1980,good,gas,1,Brussels
apartment,365000,1930,good,gas,2,Brussels
apartment,490000,1953,justrenovated,gas,1,Brussels
apartment,245000,1960,torenovate,gas,1,Brussels
apartment,250000,1930,torenovate,gas,1,Brussels
apartment,265000,1932,justrenovated,gas,1,Brussels
apartment,350000,2005,justrenovated,gas,1,Brussels
apartment,355000,1967,good,gas,2,Brussels
apartment,369000,1974,good,gas,2,Brussels
apartment,375000,1957,torenovate,gas,2,Brussels
apartment,380000,1994,justrenovated,gas,3,Brussels
apartment,400000,1969,torenovate,gas,2,Brussels
apartment,419000,1950,justrenovated,gas,2,Brussels
apartment,430000,1990,good,gas,4,Brussels
apartment,348000,1970,justrenovated,gas,2,Brussels
apartment,430000,1990,good,gas,4,Brussels
apartment,445000,2014,good,gas,2,Brussels
apartment,455000,1995,good,gas,2,Brussels
apartment,299000,1957,justrenovated,fueloil,2,Brussels
apartment,480000,2008,justrenovated,gas,3,Brussels
house,445000,1939,good,fueloil,5,Brussels
apartment,490000,1995,good,gas,2,Brussels
apartment,495000,2008,good,gas,2,Brussels
apartment,430000,1990,good,gas,4,Brussels
apartment,495000,1980,justrenovated,gas,3,Brussels
apartment,345000,2012,justrenovated,gas,2,Brussels
apartment,340000,2008,good,gas,2,Brussels
apartment,250000,1934,torenovate,gas,1,Brussels
apartment,255000,1977,torenovate,gas,2,Brussels
apartment,260000,1980,good,gas,3,Brussels
house,625000,1962,torenovate,gas,5,Brussels
apartment,285000,1952,justrenovated,gas,1,Brussels
apartment,345000,1992,good,gas,3,Brussels
apartment,290000,1954,justrenovated,gas,2,Brussels
apartment,315000,2007,good,gas,3,Brussels
apartment,319000,1950,justrenovated,gas,2,Brussels
house,450000,1930,good,gas,2,Brussels
apartment,325000,1980,good,gas,2,Brussels
house,450000,1968,torenovate,gas,4,Brussels
apartment,329000,1961,good,gas,3,Brussels
apartment,499000,1935,good,gas,1,Brussels
apartment,575000,1975,torenovate,fueloil,3,Brussels
apartment,300000,1960,torenovate,gas,2,Brussels
apartment,310000,2014,justrenovated,gas,1,Brussels
apartment,325000,1930,torenovate,gas,2,Brussels
apartment,345000,1931,torenovate,fueloil,2,Brussels
apartment,350000,1850,justrenovated,gas,2,Brussels
apartment,370000,1980,good,electric,2,Brussels
apartment,370000,1990,good,gas,2,Brussels
apartment,375000,2014,justrenovated,gas,2,Brussels
apartment,389000,1930,good,gas,2,Brussels
apartment,625000,1930,good,gas,3,Brussels
apartment,165000,1967,good,gas,1,Brussels
apartment,200000,1951,good,fueloil,2,Brussels
apartment,395000,2018,justrenovated,gas,2,Brussels
apartment,299000,1918,good,gas,2,Brussels
apartment,295000,1970,torenovate,gas,2,Brussels
apartment,295000,1980,torenovate,gas,3,Brussels
apartment,650000,2012,justrenovated,gas,2,Brussels
apartment,675000,2020,good,gas,2,Brussels
apartment,695000,1962,good,gas,3,Brussels
apartment,745000,2012,justrenovated,gas,4,Brussels
apartment,790000,2005,justrenovated,gas,3,Brussels
house,399000,1920,good,gas,3,Brussels
apartment,254000,1934,good,gas,1,Brussels
apartment,470000,1995,good,wood,2,Brussels
apartment,495000,1976,good,gas,4,Brussels
apartment,249000,2009,good,electric,2,Brussels
house,699000,1972,torenovate,electric,4,Brussels
apartment,225000,1978,good,gas,1,Brussels
house,715000,1918,torenovate,gas,3,Brussels
apartment,265000,2025,justrenovated,gas,1,Brussels
apartment,272500,2024,good,gas,2,Brussels
apartment,282000,2025,justrenovated,gas,1,Brussels
apartment,289000,2022,justrenovated,gas,1,Brussels
apartment,306000,2025,justrenovated,gas,2,Brussels
apartment,365000,2021,justrenovated,gas,2,Brussels
apartment,369000,2022,justrenovated,gas,1,Brussels
apartment,272500,2024,good,gas,2,Brussels
apartment,280000,1940,justrenovated,gas,2,Brussels
apartment,320000,1980,justrenovated,electric,2,Brussels
apartment,339000,2013,justrenovated,gas,1,Brussels
house,695000,1920,good,gas,4,Brussels
apartment,415000,2016,justrenovated,gas,2,Brussels
apartment,429000,2013,justrenovated,gas,2,Brussels
apartment,445000,2014,justrenovated,gas,2,Brussels
apartment,445000,1958,good,gas,2,Brussels
apartment,449000,2013,justrenovated,gas,2,Brussels
apartment,449000,2013,justrenovated,gas,2,Brussels
apartment,510000,1964,good,fueloil,3,Brussels
apartment,590000,2001,justrenovated,gas,2,Brussels
apartment,625000,2001,justrenovated,gas,3,Brussels
apartment,699000,2010,good,gas,3,Brussels
apartment,399000,1973,justrenovated,gas,2,Brussels
apartment,700000,2021,justrenovated,gas,3,Brussels
apartment,382000,2025,justrenovated,gas,3,Brussels
apartment,225000,1930,justrenovated,gas,1,Brussels
apartment,406000,2025,justrenovated,gas,2,Brussels
apartment,450000,2020,good,gas,3,Brussels
apartment,179000,1980,torenovate,gas,1,Brussels
apartment,495000,2022,good,gas,2,Brussels
apartment,495000,2022,good,gas,2,Brussels
apartment,520000,2022,good,gas,3,Brussels
house,695000,1930,good,gas,4,Brussels
house,645000,1910,justrenovated,gas,4,Brussels
apartment,275000,1910,good,gas,2,Brussels
apartment,178000,1970,justrenovated,gas,1,Brussels
apartment,195000,1910,torenovate,gas,1,Brussels
apartment,199000,1973,torenovate,gas,2,Brussels
apartment,215000,1968,torenovate,gas,2,Brussels
apartment,215000,1969,good,electric,1,Brussels
apartment,185000,2011,justrenovated,gas,1,Brussels
apartment,465000,1958,good,fueloil,3,Brussels
apartment,350000,1992,good,gas,2,Brussels
apartment,450000,2020,good,gas,3,Brussels
apartment,485000,2021,justrenovated,gas,2,Brussels
apartment,488000,2022,justrenovated,gas,2,Brussels
apartment,499000,2022,justrenovated,gas,3,Brussels
apartment,511500,2022,good,gas,2,Brussels
apartment,520000,1995,justrenovated,gas,2,Brussels
apartment,585000,2021,justrenovated,gas,2,Brussels
apartment,673000,2022,justrenovated,gas,3,Brussels
apartment,699000,2022,justrenovated,gas,2,Brussels
apartment,300000,1965,torenovate,gas,1,Brussels
apartment,359000,1964,justrenovated,gas,2,Brussels
apartment,450000,2019,good,gas,3,Brussels
apartment,225000,1976,torenovate,gas,1,Brussels
apartment,225000,1930,justrenovated,gas,1,Brussels
apartment,220000,1969,torenovate,gas,2,Brussels
apartment,482000,2025,justrenovated,gas,3,Brussels
apartment,495000,2022,justrenovated,gas,2,Brussels
apartment,515000,2022,justrenovated,gas,3,Brussels
apartment,525000,2022,justrenovated,gas,3,Brussels
apartment,540000,2022,justrenovated,gas,3,Brussels
apartment,559000,2022,justrenovated,gas,3,Brussels
apartment,560000,2022,justrenovated,gas,3,Brussels
apartment,570000,2023,justrenovated,gas,2,Brussels
apartment,575000,2020,justrenovated,gas,3,Brussels
apartment,450000,2020,justrenovated,gas,3,Brussels
apartment,650000,1912,justrenovated,gas,2,Brussels
apartment,745000,2025,justrenovated,gas,3,Brussels
apartment,795000,2023,justrenovated,gas,3,Brussels
apartment,269000,1966,justrenovated,gas,3,Brussels
apartment,720000,2025,justrenovated,gas,3,Brussels
apartment,350000,2013,justrenovated,gas,1,Brussels
apartment,450000,2022,justrenovated,gas,2,Brussels
apartment,394000,2025,justrenovated,gas,2,Brussels
apartment,395000,1900,good,gas,2,Brussels
apartment,414355,1965,justrenovated,fueloil,2,Brussels
apartment,426205,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,259000,1932,good,gas,2,Brussels
apartment,520000,2013,justrenovated,gas,3,Brussels
apartment,395000,2017,justrenovated,gas,1,Brussels
apartment,599000,2012,justrenovated,gas,2,Brussels
apartment,259000,1950,justrenovated,gas,2,Brussels
apartment,265000,2025,justrenovated,gas,1,Brussels
apartment,312000,2025,justrenovated,gas,2,Brussels
apartment,325000,2025,justrenovated,gas,2,Brussels
apartment,358000,2025,justrenovated,gas,2,Brussels
apartment,360000,2000,good,gas,2,Brussels
apartment,375000,2021,justrenovated,gas,1,Brussels
apartment,375000,1974,good,gas,2,Brussels
apartment,379000,2022,justrenovated,gas,3,Brussels
apartment,245000,2014,justrenovated,gas,1,Brussels
apartment,395000,1968,justrenovated,fueloil,3,Brussels
apartment,414355,1965,justrenovated,fueloil,2,Brussels
apartment,414355,1965,justrenovated,fueloil,2,Brussels
apartment,179000,1965,justrenovated,fueloil,2,Brussels
house,495000,1936,good,gas,3,Brussels
apartment,209000,1963,good,fueloil,2,Brussels
apartment,215000,1960,justrenovated,gas,1,Brussels
apartment,219000,1959,good,gas,2,Brussels
apartment,219000,2011,good,gas,2,Brussels
apartment,220000,1960,good,gas,1,Brussels
apartment,225000,2000,good,electric,1,Brussels
apartment,225000,1970,justrenovated,gas,2,Brussels
apartment,225000,1963,torenovate,gas,1,Brussels
apartment,229000,1958,good,gas,3,Brussels
apartment,210000,1937,torenovate,gas,1,Brussels
apartment,169000,1973,good,gas,1,Brussels
apartment,426205,1965,justrenovated,fueloil,2,Brussels
apartment,426205,1965,justrenovated,fueloil,2,Brussels
apartment,450000,1960,justrenovated,gas,3,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1965,justrenovated,fueloil,2,Brussels
apartment,285000,1930,justrenovated,gas,1,Brussels
apartment,645000,1945,torenovate,gas,4,Brussels
apartment,137500,2004,good,electric,1,Brussels
apartment,285000,1890,justrenovated,gas,1,Brussels
apartment,255000,2020,justrenovated,gas,1,Brussels
apartment,185000,1925,torenovate,gas,4,Brussels
apartment,279000,1960,good,gas,2,Brussels
apartment,355000,2019,justrenovated,gas,2,Brussels
apartment,375000,2017,justrenovated,gas,2,Brussels
apartment,385000,2011,good,gas,3,Brussels
apartment,297000,1962,justrenovated,gas,1,Brussels
apartment,260000,1970,good,gas,1,Brussels
apartment,489000,1927,justrenovated,gas,1,Brussels
apartment,699000,1927,justrenovated,gas,2,Brussels
apartment,749000,1927,justrenovated,gas,2,Brussels
apartment,550000,1949,justrenovated,gas,2,Brussels
apartment,275000,1970,justrenovated,gas,1,Brussels
apartment,259000,1950,justrenovated,gas,2,Brussels
apartment,270000,1960,justrenovated,gas,1,Brussels
apartment,399000,1992,good,gas,2,Brussels
apartment,460000,1933,good,gas,2,Brussels
apartment,220000,1970,justrenovated,gas,1,Brussels
house,795000,1887,good,gas,4,Brussels
apartment,275000,1910,torenovate,gas,1,Brussels
apartment,215000,1923,good,gas,1,Brussels
apartment,370000,1961,good,fueloil,2,Brussels
apartment,265000,1958,good,gas,2,Brussels
apartment,395000,2022,justrenovated,gas,3,Brussels
apartment,595000,1964,torenovate,gas,4,Brussels
apartment,595000,1964,torenovate,gas,4,Brussels
apartment,137500,2004,good,electric,1,Brussels
apartment,235000,2009,good,electric,1,Brussels
apartment,265000,2014,good,electric,2,Brussels
apartment,319000,2001,good,electric,2,Brussels
house,615000,1967,good,gas,4,Brussels
apartment,319000,1965,good,gas,1,Brussels
apartment,375000,1968,good,gas,2,Brussels
apartment,479000,1958,justrenovated,gas,3,Brussels
apartment,275000,1966,justrenovated,gas,3,Brussels
apartment,520000,1900,good,gas,3,Brussels
apartment,235000,2009,good,gas,2,Brussels
apartment,249000,1956,torenovate,gas,1,Brussels
apartment,340000,1964,good,gas,3,Brussels
house,375000,1970,torenovate,gas,3,Brussels
apartment,180000,1975,torenovate,gas,1,Brussels
apartment,255000,2010,justrenovated,gas,1,Brussels
apartment,320000,1953,justrenovated,fueloil,1,Brussels
apartment,379000,1961,torenovate,gas,2,Brussels
apartment,379000,1961,torenovate,gas,2,Brussels
apartment,192500,1936,justrenovated,gas,1,Brussels
apartment,275000,1970,torenovate,gas,2,Brussels
apartment,280000,1975,good,gas,2,Brussels
apartment,455000,1980,torenovate,gas,3,Brussels
apartment,455000,1980,torenovate,gas,2,Brussels
apartment,520000,2022,justrenovated,gas,3,Brussels
apartment,230000,1987,torenovate,gas,2,Brussels
apartment,255000,2011,good,electric,1,Brussels
apartment,295000,2011,good,electric,2,Brussels
