building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
house,499000,2640,installed,1953,good,gas,4,Antwerp
house,685000,2018,semiequipped,1906,justrenovated,gas,4,Antwerp
house,447000,2830,installed,2010,good,gas,3,Antwerp
apartment,195000,2221,installed,2014,justrenovated,gas,1,Antwerp
apartment,279000,2800,hyperequipped,1952,justrenovated,gas,2,Antwerp
house,790000,2830,hyperequipped,1918,justrenovated,gas,2,Antwerp
house,464000,2640,installed,1993,justrenovated,gas,3,Antwerp
house,470000,2811,installed,1996,good,fueloil,3,Antwerp
apartment,745000,2018,semiequipped,1923,good,gas,2,Antwerp
apartment,185000,2050,semiequipped,1964,torenovate,gas,2,Antwerp
apartment,199000,2440,installed,1962,good,fueloil,2,Antwerp
house,498000,2440,installed,2002,justrenovated,gas,3,Antwerp
house,499000,2060,hyperequipped,1890,justrenovated,gas,3,Antwerp
house,445000,2370,semiequipped,1991,good,gas,4,Antwerp
apartment,205000,2940,installed,1973,justrenovated,gas,2,Antwerp
apartment,159000,2170,installed,1930,justrenovated,gas,1,Antwerp
house,799950,2980,hyperequipped,2008,justrenovated,gas,3,Antwerp
house,279000,2300,installed,1958,torenovate,gas,3,Antwerp
apartment,269000,2600,semiequipped,1968,justrenovated,gas,3,Antwerp
apartment,599000,2018,semiequipped,1961,good,gas,3,Antwerp
apartment,459000,2800,installed,2010,good,gas,2,Antwerp
house,320000,2500,hyperequipped,1937,torenovate,gas,4,Antwerp
house,295000,2830,semiequipped,1955,torenovate,gas,4,Antwerp
apartment,120000,2830,semiequipped,1911,torenovate,gas,1,Antwerp
house,450000,2530,hyperequipped,2016,justrenovated,gas,3,Antwerp
house,349000,2100,hyperequipped,1910,good,gas,3,Antwerp
apartment,235000,2300,installed,1998,justrenovated,gas,2,Antwerp
house,325000,2580,installed,1952,torenovate,gas,3,Antwerp
house,775000,2060,semiequipped,1821,good,gas,6,Antwerp
apartment,419000,2100,semiequipped,1957,good,gas,4,Antwerp
apartment,295000,2600,hyperequipped,1972,justrenovated,electric,2,Antwerp
house,345000,2440,semiequipped,1964,torenovate,gas,5,Antwerp
house,339000,2300,semiequipped,1953,justrenovated,gas,3,Antwerp
apartment,299000,2270,hyperequipped,1982,good,gas,3,Antwerp
house,487000,2820,semiequipped,1960,justrenovated,gas,4,Antwerp
apartment,299000,2600,hyperequipped,1934,justrenovated,gas,2,Antwerp
house,465000,2270,semiequipped,2002,good,gas,3,Antwerp
house,489000,2610,installed,1987,good,gas,4,Antwerp
house,460000,2350,semiequipped,1987,good,fueloil,4,Antwerp
apartment,149000,2020,installed,1968,torenovate,gas,1,Antwerp
apartment,289000,2940,hyperequipped,1970,justrenovated,gas,2,Antwerp
apartment,595000,2540,installed,2005,good,gas,3,Antwerp
apartment,490000,2180,semiequipped,2011,justrenovated,gas,2,Antwerp
house,649000,2160,installed,1964,justrenovated,fueloil,4,Antwerp
house,525000,2460,hyperequipped,2005,justrenovated,gas,4,Antwerp
house,398000,2850,semiequipped,1964,good,gas,3,Antwerp
apartment,330000,2070,semiequipped,2007,good,gas,3,Antwerp
house,450000,2860,semiequipped,1978,good,gas,3,Antwerp
apartment,159000,2100,installed,1970,justrenovated,gas,1,Antwerp
apartment,344000,2830,installed,2021,good,gas,3,Antwerp
apartment,279000,2170,hyperequipped,2015,justrenovated,gas,2,Antwerp
apartment,270000,2800,semiequipped,1992,justrenovated,gas,2,Antwerp
apartment,279000,2850,hyperequipped,2006,justrenovated,gas,2,Antwerp
house,349000,2960,semiequipped,2001,torenovate,wood,2,Antwerp
house,315000,2870,installed,1918,good,gas,2,Antwerp
apartment,284000,2940,hyperequipped,1970,justrenovated,gas,2,Antwerp
house,349000,2360,hyperequipped,1974,good,gas,3,Antwerp
house,429000,2350,installed,1974,good,electric,3,Antwerp
apartment,395000,2018,installed,1954,good,gas,3,Antwerp
apartment,259000,2560,hyperequipped,2008,justrenovated,gas,2,Antwerp
apartment,245000,2100,semiequipped,1971,good,gas,2,Antwerp
apartment,175000,2660,semiequipped,1991,torenovate,gas,2,Antwerp
apartment,749000,2018,semiequipped,1981,good,gas,3,Antwerp
apartment,564000,2000,hyperequipped,2017,good,gas,2,Antwerp
apartment,348000,2200,hyperequipped,2001,justrenovated,gas,3,Antwerp
house,444000,2830,semiequipped,1964,good,gas,5,Antwerp
house,449000,2800,installed,2012,justrenovated,gas,3,Antwerp
house,750000,2570,semiequipped,1993,good,gas,9,Antwerp
apartment,275000,2830,installed,1975,good,gas,2,Antwerp
apartment,275000,2100,hyperequipped,2005,good,gas,2,Antwerp
apartment,275000,2100,installed,1995,good,gas,3,Antwerp
apartment,270000,2820,installed,2005,good,gas,1,Antwerp
apartment,325000,2018,semiequipped,1936,good,gas,3,Antwerp
apartment,325000,2000,installed,1937,good,gas,3,Antwerp
apartment,269000,2610,installed,1959,good,gas,2,Antwerp
house,325000,2170,installed,1933,good,gas,7,Antwerp
apartment,460000,2000,semiequipped,2017,justrenovated,gas,2,Antwerp
apartment,595000,2360,installed,1992,justrenovated,gas,3,Antwerp
house,170000,2580,installed,1934,torenovate,gas,2,Antwerp
apartment,420000,2000,hyperequipped,2007,good,gas,2,Antwerp
apartment,215000,2620,semiequipped,1976,good,gas,3,Antwerp
house,547000,2830,installed,1923,justrenovated,gas,4,Antwerp
apartment,275000,2018,semiequipped,1974,good,gas,3,Antwerp
apartment,275000,2550,semiequipped,2001,justrenovated,gas,2,Antwerp
apartment,430000,2550,installed,2016,good,gas,2,Antwerp
apartment,239000,2660,installed,2009,good,gas,2,Antwerp
house,475000,2490,hyperequipped,1993,good,fueloil,3,Antwerp
house,325000,2180,installed,1960,good,gas,3,Antwerp
house,625000,2160,semiequipped,1983,good,gas,3,Antwerp
apartment,350000,2050,installed,2000,justrenovated,gas,3,Antwerp
house,435000,2640,installed,1956,good,gas,3,Antwerp
apartment,380000,2018,semiequipped,1954,justrenovated,gas,2,Antwerp
apartment,389000,2630,hyperequipped,1997,good,gas,2,Antwerp
apartment,365000,2630,hyperequipped,1969,justrenovated,gas,2,Antwerp
apartment,329900,2610,semiequipped,1968,justrenovated,gas,4,Antwerp
house,545000,2870,installed,1860,torenovate,gas,4,Antwerp
apartment,495000,2018,semiequipped,1961,justrenovated,gas,3,Antwerp
house,275000,2200,semiequipped,1979,torenovate,gas,4,Antwerp
apartment,225000,2610,semiequipped,1967,torenovate,gas,3,Antwerp
house,329000,2830,installed,1918,torenovate,gas,5,Antwerp
apartment,230000,2580,semiequipped,1975,good,gas,2,Antwerp
house,399000,2500,installed,1967,good,gas,3,Antwerp
house,399000,2220,installed,1972,good,fueloil,4,Antwerp
house,389000,2950,semiequipped,1950,justrenovated,gas,4,Antwerp
house,377000,2830,installed,1966,good,gas,3,Antwerp
