building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
apartment,321000,1070,hyperequipped,2008,justrenovated,electric,3,Brussels
apartment,320000,1080,hyperequipped,1938,justrenovated,gas,2,Brussels
apartment,319000,1190,semiequipped,1960,torenovate,gas,2,Brussels
apartment,365000,1000,hyperequipped,1930,good,gas,2,Brussels
apartment,425000,1050,hyperequipped,1891,justrenovated,gas,2,Brussels
apartment,250000,1160,installed,2010,justrenovated,electric,2,Brussels
apartment,250000,1070,notinstalled,1980,torenovate,gas,2,Brussels
apartment,190000,1140,installed,1982,torenovate,gas,2,Brussels
apartment,185000,1180,installed,1965,good,gas,1,Brussels
apartment,169000,1020,installed,1969,good,gas,2,Brussels
apartment,160000,1140,notinstalled,1974,torenovate,fueloil,1,Brussels
house,350000,1190,installed,1930,torenovate,gas,4,Brussels
apartment,369000,1000,hyperequipped,2014,justrenovated,gas,2,Brussels
apartment,283000,1140,installed,2021,good,gas,1,Brussels
apartment,265000,1140,installed,2021,good,gas,1,Brussels
apartment,590000,1040,semiequipped,1912,good,fueloil,2,Brussels
apartment,480000,1000,hyperequipped,2013,justrenovated,gas,2,Brussels
house,379000,1020,installed,1940,good,gas,5,Brussels
apartment,370000,1180,hyperequipped,2017,justrenovated,gas,1,Brussels
apartment,370000,1180,hyperequipped,2019,justrenovated,gas,1,Brussels
apartment,195000,1020,semiequipped,1967,good,gas,2,Brussels
apartment,299000,1000,hyperequipped,2025,justrenovated,gas,1,Brussels
apartment,720000,1180,hyperequipped,1948,torenovate,gas,4,Brussels
apartment,495000,1050,hyperequipped,1953,justrenovated,fueloil,3,Brussels
apartment,429000,1090,hyperequipped,2008,justrenovated,gas,3,Brussels
apartment,322000,1160,hyperequipped,2022,good,gas,1,Brussels
apartment,179000,1030,notinstalled,1960,torenovate,gas,1,Brussels
apartment,620000,1000,installed,1958,good,fueloil,3,Brussels
apartment,170000,1070,installed,1914,good,gas,1,Brussels
apartment,165000,1140,semiequipped,1983,torenovate,gas,1,Brussels
apartment,219000,1030,semiequipped,1931,good,gas,1,Brussels
apartment,675000,1180,notinstalled,2021,justrenovated,gas,2,Brussels
apartment,635000,1000,installed,2013,good,gas,3,Brussels
apartment,450000,1050,hyperequipped,2003,justrenovated,gas,2,Brussels
apartment,325000,1140,hyperequipped,2012,justrenovated,gas,2,Brussels
apartment,275000,1090,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,250000,1090,installed,1974,good,gas,2,Brussels
apartment,195000,1190,semiequipped,1915,good,gas,1,Brussels
apartment,199000,1070,semiequipped,1966,torenovate,gas,3,Brussels
apartment,249000,1190,hyperequipped,1984,torenovate,gas,2,Brussels
apartment,249000,1080,hyperequipped,1972,justrenovated,gas,2,Brussels
apartment,249000,1020,hyperequipped,1930,justrenovated,gas,1,Brussels
apartment,245000,1140,hyperequipped,1977,good,gas,2,Brussels
apartment,245000,1090,semiequipped,1997,torenovate,electric,2,Brussels
apartment,245000,1070,notinstalled,1980,torenovate,gas,2,Brussels
apartment,240000,1190,notinstalled,1960,good,gas,1,Brussels
apartment,235000,1140,semiequipped,1971,torenovate,gas,2,Brussels
apartment,235000,1030,semiequipped,1910,good,gas,1,Brussels
apartment,230000,1200,semiequipped,1967,justrenovated,fueloil,1,Brussels
apartment,230000,1150,hyperequipped,1970,good,gas,1,Brussels
apartment,230000,1090,installed,1960,good,gas,2,Brussels
apartment,230000,1080,installed,1932,justrenovated,gas,1,Brussels
apartment,199000,1030,notinstalled,1958,torenovate,gas,2,Brussels
apartment,230000,1070,installed,1957,good,gas,2,Brussels
apartment,225000,1140,notinstalled,1960,torenovate,gas,2,Brussels
apartment,225000,1083,installed,1970,good,gas,2,Brussels
apartment,225000,1080,hyperequipped,1930,justrenovated,gas,1,Brussels
apartment,225000,1000,hyperequipped,1930,justrenovated,gas,1,Brussels
apartment,220000,1140,hyperequipped,1970,justrenovated,gas,2,Brussels
apartment,220000,1090,notinstalled,1969,torenovate,gas,2,Brussels
apartment,220000,1070,semiequipped,1957,torenovate,gas,2,Brussels
apartment,219000,1070,hyperequipped,1909,justrenovated,gas,2,Brussels
apartment,215000,1190,semiequipped,1960,torenovate,gas,2,Brussels
apartment,215000,1090,notinstalled,1967,torenovate,fueloil,2,Brussels
apartment,210000,1081,notinstalled,1956,torenovate,gas,2,Brussels
apartment,209000,1080,installed,1976,justrenovated,fueloil,2,Brussels
apartment,199000,1070,installed,1976,good,gas,2,Brussels
apartment,229999,1080,hyperequipped,1972,justrenovated,gas,2,Brussels
apartment,429000,1000,installed,1964,justrenovated,gas,3,Brussels
apartment,429000,1020,installed,1964,justrenovated,gas,3,Brussels
apartment,435000,1050,hyperequipped,1950,good,fueloil,2,Brussels
apartment,265000,1000,installed,2025,justrenovated,gas,1,Brussels
apartment,280000,1030,installed,1940,justrenovated,gas,2,Brussels
apartment,700000,1200,hyperequipped,2021,justrenovated,gas,3,Brussels
apartment,399000,1200,semiequipped,1973,justrenovated,gas,2,Brussels
house,695000,1040,semiequipped,1920,good,gas,4,Brussels
apartment,699000,1150,installed,2010,good,gas,3,Brussels
apartment,625000,1000,hyperequipped,2001,justrenovated,gas,3,Brussels
apartment,590000,1000,hyperequipped,2001,justrenovated,gas,2,Brussels
apartment,510000,1200,semiequipped,1964,good,fueloil,3,Brussels
apartment,449000,1000,installed,2013,justrenovated,gas,2,Brussels
apartment,449000,1000,installed,2013,justrenovated,gas,2,Brussels
apartment,445000,1150,semiequipped,1958,good,gas,2,Brussels
apartment,445000,1000,semiequipped,2014,justrenovated,gas,2,Brussels
apartment,272500,1000,hyperequipped,2024,good,gas,2,Brussels
apartment,429000,1000,installed,2013,justrenovated,gas,2,Brussels
house,445000,1120,installed,1939,good,fueloil,5,Brussels
apartment,699000,1160,installed,2022,justrenovated,gas,2,Brussels
apartment,339000,1000,installed,2013,justrenovated,gas,1,Brussels
apartment,320000,1180,semiequipped,1980,justrenovated,electric,2,Brussels
house,450000,1020,semiequipped,1968,torenovate,gas,4,Brussels
house,450000,1050,installed,1930,good,gas,2,Brussels
apartment,250000,1030,semiequipped,1930,torenovate,gas,1,Brussels
apartment,245000,1190,notinstalled,1960,torenovate,gas,1,Brussels
apartment,245000,1090,semiequipped,1977,justrenovated,gas,2,Brussels
apartment,229000,1160,notinstalled,1960,good,gas,1,Brussels
apartment,195000,1090,semiequipped,1954,torenovate,gas,1,Brussels
apartment,189000,1080,installed,1935,good,gas,2,Brussels
apartment,175000,1020,notinstalled,1958,good,gas,2,Brussels
apartment,415000,1040,installed,2016,justrenovated,gas,2,Brussels
house,625000,1140,installed,1962,torenovate,gas,5,Brussels
apartment,272500,1070,hyperequipped,2024,good,gas,2,Brussels
apartment,289000,1090,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,199000,1020,notinstalled,1973,torenovate,gas,2,Brussels
apartment,195000,1050,installed,1910,torenovate,gas,1,Brussels
apartment,178000,1020,hyperequipped,1970,justrenovated,gas,1,Brussels
apartment,179000,1080,installed,1980,torenovate,gas,1,Brussels
apartment,275000,1050,installed,1910,good,gas,2,Brussels
apartment,185000,1030,hyperequipped,2011,justrenovated,gas,1,Brussels
apartment,465000,1050,hyperequipped,1958,good,fueloil,3,Brussels
apartment,350000,1150,installed,1992,good,gas,2,Brussels
house,249900,1030,notinstalled,1919,torenovate,gas,4,Brussels
apartment,359000,1020,installed,1964,justrenovated,gas,2,Brussels
apartment,300000,1150,installed,1965,torenovate,gas,1,Brussels
house,715000,1050,semiequipped,1918,torenovate,gas,3,Brussels
apartment,699000,1050,installed,2022,justrenovated,gas,2,Brussels
apartment,282000,1000,hyperequipped,2025,justrenovated,gas,1,Brussels
apartment,673000,1050,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,520000,1000,hyperequipped,1995,justrenovated,gas,2,Brussels
apartment,511500,1160,hyperequipped,2022,good,gas,2,Brussels
apartment,499000,1090,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,488000,1050,hyperequipped,2022,justrenovated,gas,2,Brussels
apartment,485000,1180,hyperequipped,2021,justrenovated,gas,2,Brussels
apartment,450000,1140,hyperequipped,2020,good,gas,3,Brussels
apartment,450000,1130,hyperequipped,2020,good,gas,3,Brussels
apartment,450000,1000,hyperequipped,2019,good,gas,3,Brussels
apartment,406000,1000,hyperequipped,2025,justrenovated,gas,2,Brussels
apartment,382000,1000,hyperequipped,2025,justrenovated,gas,3,Brussels
apartment,369000,1090,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,365000,1090,hyperequipped,2021,justrenovated,gas,2,Brussels
apartment,306000,1000,installed,2025,justrenovated,gas,2,Brussels
apartment,585000,1000,hyperequipped,2021,justrenovated,gas,2,Brussels
apartment,165000,1120,hyperequipped,1977,good,gas,1,Brussels
apartment,165000,1090,installed,1950,good,gas,1,Brussels
apartment,530000,1000,hyperequipped,1995,justrenovated,gas,2,Brussels
apartment,220000,1070,hyperequipped,2024,good,gas,1,Brussels
apartment,220000,1000,hyperequipped,2024,good,gas,1,Brussels
apartment,795000,1000,installed,1998,justrenovated,gas,2,Brussels
apartment,750000,1050,hyperequipped,1988,justrenovated,gas,3,Brussels
apartment,699000,1150,hyperequipped,2010,justrenovated,gas,3,Brussels
apartment,695000,1060,semiequipped,1874,justrenovated,gas,3,Brussels
apartment,690000,1000,hyperequipped,2001,justrenovated,gas,2,Brussels
apartment,675000,1000,hyperequipped,2001,justrenovated,gas,2,Brussels
apartment,655000,1000,hyperequipped,1930,justrenovated,gas,4,Brussels
apartment,650000,1180,hyperequipped,1993,good,electric,2,Brussels
apartment,645000,1000,installed,1953,justrenovated,gas,2,Brussels
apartment,640000,1000,hyperequipped,2021,justrenovated,gas,6,Brussels
apartment,599000,1050,hyperequipped,1915,justrenovated,gas,4,Brussels
apartment,245000,1200,installed,1940,good,electric,1,Brussels
apartment,550000,1050,hyperequipped,2017,justrenovated,gas,2,Brussels
apartment,535000,1150,hyperequipped,2004,justrenovated,gas,2,Brussels
apartment,535000,1060,semiequipped,1935,good,gas,2,Brussels
apartment,500000,1000,installed,1953,justrenovated,gas,1,Brussels
apartment,499000,1040,installed,2008,good,gas,3,Brussels
apartment,499000,1000,hyperequipped,2021,justrenovated,gas,4,Brussels
apartment,495000,1060,hyperequipped,2015,justrenovated,gas,2,Brussels
apartment,490000,1000,installed,1953,justrenovated,gas,1,Brussels
apartment,480000,1000,installed,1953,justrenovated,gas,1,Brussels
apartment,475000,1140,hyperequipped,2019,justrenovated,gas,3,Brussels
apartment,465000,1190,hyperequipped,1910,justrenovated,gas,2,Brussels
apartment,450000,1150,hyperequipped,2003,justrenovated,gas,2,Brussels
apartment,450000,1040,semiequipped,1965,good,gas,2,Brussels
apartment,445000,1020,installed,1963,good,gas,4,Brussels
apartment,542000,1000,hyperequipped,1995,justrenovated,gas,2,Brussels
apartment,345000,1150,semiequipped,1986,justrenovated,gas,2,Brussels
apartment,430000,1200,installed,2006,good,gas,2,Brussels
apartment,169000,1090,semiequipped,1965,good,fueloil,2,Brussels
apartment,495000,1000,hyperequipped,1995,justrenovated,gas,2,Brussels
apartment,365000,1000,semiequipped,1964,good,gas,3,Brussels
apartment,220000,1070,semiequipped,2022,justrenovated,gas,1,Brussels
apartment,499000,1050,hyperequipped,2016,justrenovated,gas,2,Brussels
apartment,395000,1030,installed,1912,justrenovated,gas,4,Brussels
apartment,270000,1040,hyperequipped,1910,justrenovated,gas,1,Brussels
apartment,375000,1050,hyperequipped,1930,justrenovated,gas,2,Brussels
apartment,235000,1190,notinstalled,1940,torenovate,gas,2,Brussels
apartment,200000,1190,semiequipped,1913,torenovate,electric,1,Brussels
apartment,180000,1030,installed,1936,justrenovated,gas,1,Brussels
apartment,448000,1040,hyperequipped,1910,justrenovated,gas,2,Brussels
apartment,485000,1180,hyperequipped,1971,justrenovated,gas,3,Brussels
apartment,475000,1170,installed,1969,good,fueloil,3,Brussels
apartment,445000,1080,installed,2004,good,electric,2,Brussels
apartment,430000,1050,hyperequipped,2006,justrenovated,gas,2,Brussels
apartment,415000,1000,installed,2013,good,gas,2,Brussels
apartment,365000,1081,installed,2009,justrenovated,gas,3,Brussels
apartment,365000,1080,installed,2009,justrenovated,gas,3,Brussels
apartment,355000,1180,hyperequipped,1900,justrenovated,gas,1,Brussels
apartment,290000,1030,installed,2011,good,gas,2,Brussels
house,699000,1200,installed,1972,torenovate,electric,4,Brussels
apartment,265000,1030,hyperequipped,1956,good,gas,1,Brussels
apartment,260000,1080,installed,1974,good,fueloil,3,Brussels
apartment,245000,1140,semiequipped,1964,torenovate,gas,2,Brussels
apartment,216000,1060,semiequipped,1960,torenovate,gas,1,Brussels
apartment,196000,1060,semiequipped,1960,torenovate,gas,1,Brussels
apartment,159000,1030,semiequipped,1975,good,gas,1,Brussels
apartment,340000,1060,semiequipped,1983,good,gas,1,Brussels
apartment,580000,1050,hyperequipped,2013,justrenovated,gas,3,Brussels
apartment,215000,1080,semiequipped,1970,good,gas,2,Brussels
apartment,215000,1083,semiequipped,1968,torenovate,gas,2,Brussels
apartment,245000,1080,installed,1968,good,gas,2,Brussels
apartment,235000,1200,hyperequipped,1960,good,gas,1,Brussels
apartment,375000,1180,installed,1974,good,gas,2,Brussels
apartment,375000,1000,hyperequipped,2021,justrenovated,gas,1,Brussels
apartment,360000,1000,hyperequipped,2000,good,gas,2,Brussels
apartment,358000,1000,hyperequipped,2025,justrenovated,gas,2,Brussels
house,790000,1050,hyperequipped,1903,good,gas,5,Brussels
apartment,325000,1000,hyperequipped,2025,justrenovated,gas,2,Brussels
apartment,312000,1000,installed,2025,justrenovated,gas,2,Brussels
apartment,265000,1000,hyperequipped,2025,justrenovated,gas,1,Brussels
apartment,259000,1210,hyperequipped,1950,justrenovated,gas,2,Brussels
apartment,245000,1090,hyperequipped,2014,justrenovated,gas,1,Brussels
apartment,599000,1180,hyperequipped,2012,justrenovated,gas,2,Brussels
apartment,520000,1200,hyperequipped,2013,justrenovated,gas,3,Brussels
apartment,259000,1150,notinstalled,1932,good,gas,2,Brussels
apartment,379000,1090,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,458150,1030,installed,1965,justrenovated,fueloil,2,Brussels
apartment,414355,1030,installed,1965,justrenovated,fueloil,2,Brussels
apartment,395000,1050,semiequipped,1900,good,gas,2,Brussels
apartment,285000,1000,notinstalled,1890,justrenovated,gas,1,Brussels
apartment,255000,1070,semiequipped,2020,justrenovated,gas,1,Brussels
apartment,199990,1070,semiequipped,1968,torenovate,gas,3,Brussels
apartment,185000,1080,notinstalled,1925,torenovate,gas,4,Brussels
apartment,295000,1210,installed,2011,good,electric,2,Brussels
apartment,255000,1210,installed,2011,good,electric,1,Brussels
apartment,230000,1080,semiequipped,1987,torenovate,gas,2,Brussels
house,795000,1050,semiequipped,1887,good,gas,4,Brussels
apartment,520000,1140,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,455000,1180,installed,1980,torenovate,gas,2,Brussels
apartment,455000,1180,installed,1980,torenovate,gas,3,Brussels
apartment,426205,1030,installed,1965,justrenovated,fueloil,2,Brussels
apartment,290000,1030,notinstalled,1920,torenovate,gas,2,Brussels
apartment,394000,1000,installed,2025,justrenovated,gas,2,Brussels
apartment,450000,1000,hyperequipped,2022,justrenovated,gas,2,Brussels
house,645000,1030,hyperequipped,1910,justrenovated,gas,4,Brussels
apartment,645000,1050,semiequipped,1945,torenovate,gas,4,Brussels
apartment,285000,1000,hyperequipped,1930,justrenovated,gas,1,Brussels
apartment,458150,1150,installed,1965,justrenovated,fueloil,2,Brussels
apartment,458150,1040,installed,1965,justrenovated,fueloil,2,Brussels
apartment,450000,1200,hyperequipped,1960,justrenovated,gas,3,Brussels
apartment,426205,1150,installed,1965,justrenovated,fueloil,2,Brussels
apartment,426205,1040,installed,1965,justrenovated,fueloil,2,Brussels
apartment,414355,1150,installed,1965,justrenovated,fueloil,2,Brussels
apartment,414355,1040,installed,1965,justrenovated,fueloil,2,Brussels
apartment,395000,1180,hyperequipped,1968,justrenovated,fueloil,3,Brussels
apartment,350000,1000,hyperequipped,2013,justrenovated,gas,1,Brussels
apartment,269000,1070,hyperequipped,1966,justrenovated,gas,3,Brussels
apartment,395000,1180,hyperequipped,2017,justrenovated,gas,1,Brussels
apartment,795000,1200,hyperequipped,2023,justrenovated,gas,3,Brussels
apartment,720000,1000,hyperequipped,2025,justrenovated,gas,3,Brussels
house,495000,1140,installed,1936,good,gas,3,Brussels
apartment,650000,1040,hyperequipped,1912,justrenovated,gas,2,Brussels
apartment,575000,1000,hyperequipped,2020,justrenovated,gas,3,Brussels
apartment,570000,1200,hyperequipped,2023,justrenovated,gas,2,Brussels
apartment,560000,1000,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,559000,1090,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,540000,1000,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,525000,1000,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,515000,1000,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,495000,1140,hyperequipped,2022,justrenovated,gas,2,Brussels
apartment,482000,1000,hyperequipped,2025,justrenovated,gas,3,Brussels
apartment,450000,1130,hyperequipped,2020,justrenovated,gas,3,Brussels
apartment,745000,1000,hyperequipped,2025,justrenovated,gas,3,Brussels
house,795000,1160,hyperequipped,1984,justrenovated,gas,3,Brussels
apartment,280000,1000,installed,1975,good,gas,2,Brussels
house,655000,1160,hyperequipped,1925,justrenovated,gas,5,Brussels
apartment,275000,1040,installed,1910,torenovate,gas,1,Brussels
apartment,749000,1190,hyperequipped,1927,justrenovated,gas,2,Brussels
apartment,699000,1190,hyperequipped,1927,justrenovated,gas,2,Brussels
apartment,489000,1190,hyperequipped,1927,justrenovated,gas,1,Brussels
apartment,260000,1170,semiequipped,1970,good,gas,1,Brussels
apartment,297000,1200,installed,1962,justrenovated,gas,1,Brussels
apartment,385000,1190,hyperequipped,2011,good,gas,3,Brussels
apartment,375000,1000,hyperequipped,2017,justrenovated,gas,2,Brussels
apartment,355000,1000,hyperequipped,2019,justrenovated,gas,2,Brussels
apartment,279000,1210,hyperequipped,1960,good,gas,2,Brussels
apartment,550000,1050,hyperequipped,1949,justrenovated,gas,2,Brussels
apartment,370000,1150,installed,1961,good,fueloil,2,Brussels
house,540000,1030,hyperequipped,1900,justrenovated,gas,4,Brussels
apartment,275000,1200,hyperequipped,1970,justrenovated,gas,1,Brussels
apartment,265000,1070,installed,1958,good,gas,2,Brussels
apartment,520000,1070,installed,1900,good,gas,3,Brussels
apartment,275000,1020,hyperequipped,1966,justrenovated,gas,3,Brussels
apartment,479000,1020,hyperequipped,1958,justrenovated,gas,3,Brussels
apartment,375000,1200,hyperequipped,1968,good,gas,2,Brussels
apartment,319000,1060,installed,1965,good,gas,1,Brussels
apartment,319000,1160,hyperequipped,2001,good,electric,2,Brussels
apartment,265000,1000,hyperequipped,2014,good,electric,2,Brussels
apartment,235000,1000,hyperequipped,2009,good,electric,1,Brussels
house,379000,1190,semiequipped,1900,torenovate,gas,3,Brussels
apartment,137500,1030,installed,2004,good,electric,1,Brussels
apartment,595000,1040,hyperequipped,1964,torenovate,gas,4,Brussels
house,219000,1030,semiequipped,1925,good,gas,1,Brussels
apartment,395000,1140,hyperequipped,2022,justrenovated,gas,3,Brussels
apartment,235000,1070,hyperequipped,2009,good,gas,2,Brussels
apartment,192500,1030,installed,1936,justrenovated,gas,1,Brussels
apartment,259000,1210,hyperequipped,1950,justrenovated,gas,2,Brussels
apartment,399000,1200,installed,1992,good,gas,2,Brussels
house,559000,1190,installed,1924,torenovate,gas,5,Brussels
apartment,320000,1200,hyperequipped,1953,justrenovated,fueloil,1,Brussels
apartment,255000,1200,installed,2010,justrenovated,gas,1,Brussels
apartment,180000,1140,installed,1975,torenovate,gas,1,Brussels
apartment,275000,1000,hyperequipped,1970,torenovate,gas,2,Brussels
apartment,195000,1030,semiequipped,1967,justrenovated,gas,1,Brussels
apartment,260000,1090,installed,1969,good,gas,2,Brussels
apartment,695000,1050,notinstalled,2022,justrenovated,gas,2,Brussels
apartment,675000,1000,hyperequipped,2019,justrenovated,gas,2,Brussels
apartment,595000,1200,hyperequipped,2008,justrenovated,gas,3,Brussels
house,375000,1070,hyperequipped,1970,torenovate,gas,3,Brussels
house,749000,1030,hyperequipped,1930,justrenovated,gas,5,Brussels
house,795000,1060,semiequipped,1887,good,gas,4,Brussels
apartment,270000,1040,hyperequipped,1960,justrenovated,gas,1,Brussels
apartment,310000,1200,hyperequipped,1976,justrenovated,gas,3,Brussels
apartment,645000,1050,hyperequipped,2022,justrenovated,gas,2,Brussels
apartment,495000,1050,hyperequipped,2022,justrenovated,gas,2,Brussels
apartment,470000,1050,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,435000,1050,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,340000,1050,hyperequipped,2022,justrenovated,gas,1,Brussels
apartment,189000,1180,installed,1975,justrenovated,electric,1,Brussels
apartment,340000,1200,semiequipped,1964,good,gas,3,Brussels
apartment,249000,1200,installed,1956,torenovate,gas,1,Brussels
apartment,215000,1050,semiequipped,1923,good,gas,1,Brussels
apartment,220000,1020,semiequipped,1970,justrenovated,gas,1,Brussels
house,590000,1050,notinstalled,1857,torenovate,gas,5,Brussels
house,580000,1020,installed,1950,good,gas,3,Brussels
apartment,460000,1040,semiequipped,1933,good,gas,2,Brussels
house,615000,1180,installed,1967,good,gas,4,Brussels
house,795000,1150,installed,1930,good,gas,4,Brussels
house,745000,1030,hyperequipped,1911,justrenovated,gas,4,Brussels
house,740000,1082,installed,1935,justrenovated,gas,7,Brussels
apartment,400000,1050,hyperequipped,2012,justrenovated,gas,1,Brussels
apartment,399000,1150,installed,1975,justrenovated,gas,2,Brussels
apartment,399000,1050,installed,1970,good,gas,2,Brussels
apartment,399000,1050,hyperequipped,1930,good,gas,2,Brussels
apartment,399000,1040,semiequipped,1960,torenovate,gas,3,Brussels
apartment,399000,1040,hyperequipped,1950,good,fueloil,3,Brussels
apartment,399000,1000,hyperequipped,1950,good,fueloil,3,Brussels
apartment,398000,1180,hyperequipped,1930,good,fueloil,3,Brussels
apartment,385000,1150,hyperequipped,1970,justrenovated,gas,2,Brussels
apartment,385000,1150,hyperequipped,1963,good,gas,2,Brussels
apartment,380000,1200,installed,1964,good,fueloil,3,Brussels
apartment,380000,1030,hyperequipped,1973,justrenovated,gas,2,Brussels
apartment,375000,1200,hyperequipped,1970,justrenovated,gas,2,Brussels
apartment,415000,1050,hyperequipped,1950,justrenovated,fueloil,1,Brussels
apartment,375000,1200,hyperequipped,1964,justrenovated,fueloil,2,Brussels
apartment,364500,1030,hyperequipped,1930,good,gas,3,Brussels
house,375000,1030,semiequipped,1928,torenovate,gas,3,Brussels
apartment,350000,1180,hyperequipped,1969,good,gas,2,Brussels
apartment,350000,1150,hyperequipped,1979,good,gas,2,Brussels
apartment,350000,1150,installed,1979,torenovate,gas,2,Brussels
apartment,350000,1040,semiequipped,2018,good,gas,2,Brussels
apartment,349500,1030,semiequipped,1956,good,gas,2,Brussels
apartment,349000,1030,semiequipped,1973,torenovate,gas,3,Brussels
apartment,345000,1200,hyperequipped,1965,justrenovated,gas,3,Brussels
apartment,345000,1200,hyperequipped,1964,justrenovated,gas,2,Brussels
apartment,345000,1200,hyperequipped,1965,justrenovated,gas,2,Brussels
apartment,345000,1180,installed,1978,torenovate,gas,2,Brussels
apartment,345000,1030,hyperequipped,1950,torenovate,gas,2,Brussels
apartment,375000,1000,installed,1900,justrenovated,gas,2,Brussels
apartment,340000,1200,hyperequipped,1964,justrenovated,gas,3,Brussels
apartment,419000,1040,hyperequipped,1936,good,fueloil,2,Brussels
apartment,424900,1040,hyperequipped,1950,good,gas,2,Brussels
apartment,295000,1060,semiequipped,1852,justrenovated,gas,1,Brussels
apartment,285000,1140,installed,1979,good,gas,3,Brussels
apartment,745000,1200,hyperequipped,1930,justrenovated,fueloil,3,Brussels
apartment,715000,1180,installed,1997,justrenovated,gas,3,Brussels
apartment,695000,1200,hyperequipped,2017,justrenovated,gas,2,Brussels
apartment,695000,1060,hyperequipped,1874,justrenovated,gas,3,Brussels
apartment,695000,1050,hyperequipped,2022,justrenovated,gas,2,Brussels
apartment,695000,1050,notinstalled,2022,justrenovated,gas,2,Brussels
apartment,655000,1040,hyperequipped,1964,justrenovated,gas,3,Brussels
apartment,599000,1200,installed,1976,good,electric,3,Brussels
apartment,590000,1060,hyperequipped,1930,justrenovated,gas,3,Brussels
apartment,570000,1060,hyperequipped,1912,justrenovated,gas,2,Brussels
apartment,550000,1040,installed,1994,torenovate,gas,2,Brussels
apartment,420000,1180,installed,1980,good,gas,3,Brussels
apartment,545000,1180,installed,1973,justrenovated,gas,2,Brussels
apartment,495000,1200,semiequipped,1958,good,fueloil,4,Brussels
apartment,495000,1200,hyperequipped,2008,justrenovated,gas,2,Brussels
apartment,495000,1150,hyperequipped,1975,good,gas,3,Brussels
apartment,495000,1150,hyperequipped,1975,good,gas,3,Brussels
apartment,490000,1150,hyperequipped,2007,justrenovated,gas,2,Brussels
apartment,480000,1000,hyperequipped,2013,justrenovated,gas,2,Brussels
apartment,465000,1160,hyperequipped,2018,justrenovated,gas,2,Brussels
apartment,450000,1190,hyperequipped,1959,justrenovated,gas,4,Brussels
apartment,450000,1000,hyperequipped,2015,justrenovated,gas,2,Brussels
apartment,449000,1200,hyperequipped,2001,justrenovated,gas,3,Brussels
apartment,440000,1000,installed,1927,justrenovated,gas,2,Brussels
apartment,439000,1000,hyperequipped,1995,justrenovated,electric,2,Brussels
apartment,424900,1150,hyperequipped,1950,good,gas,2,Brussels
apartment,535000,1180,installed,1958,justrenovated,gas,2,Brussels
apartment,340000,1190,semiequipped,1999,justrenovated,gas,3,Brussels
apartment,340000,1030,hyperequipped,1991,justrenovated,gas,2,Brussels
apartment,339500,1020,semiequipped,1958,good,gas,3,Brussels
apartment,260000,1020,hyperequipped,1972,good,gas,3,Brussels
apartment,259000,1070,notinstalled,1930,good,gas,2,Brussels
apartment,255000,1200,notinstalled,1974,torenovate,gas,2,Brussels
apartment,255000,1140,hyperequipped,1962,good,gas,2,Brussels
apartment,250000,1082,hyperequipped,1950,good,gas,1,Brussels
apartment,249000,1200,installed,1969,good,gas,2,Brussels
apartment,245000,1080,hyperequipped,1994,good,gas,2,Brussels
apartment,240000,1160,hyperequipped,1939,good,gas,1,Brussels
apartment,239000,1083,hyperequipped,1966,justrenovated,gas,2,Brussels
apartment,239000,1080,installed,1968,torenovate,gas,2,Brussels
apartment,235000,1020,installed,1955,good,gas,2,Brussels
apartment,235000,1000,semiequipped,1958,torenovate,fueloil,1,Brussels
apartment,229000,1090,hyperequipped,1958,good,gas,3,Brussels
apartment,265000,1030,hyperequipped,1940,justrenovated,gas,1,Brussels
apartment,225000,1200,notinstalled,1963,torenovate,gas,1,Brussels
apartment,225000,1000,installed,2000,good,electric,1,Brussels
apartment,220000,1060,installed,1960,good,gas,1,Brussels
apartment,219000,1080,hyperequipped,2011,good,gas,2,Brussels
apartment,219000,1030,installed,1959,good,gas,2,Brussels
apartment,215000,1120,installed,1960,justrenovated,gas,1,Brussels
apartment,210000,1140,semiequipped,1937,torenovate,gas,1,Brussels
apartment,209000,1090,semiequipped,1963,good,fueloil,2,Brussels
house,645000,1150,installed,1958,good,gas,3,Brussels
house,695000,1180,hyperequipped,1936,good,gas,5,Brussels
house,715000,1200,installed,1920,torenovate,electric,7,Brussels
apartment,179000,1080,installed,1965,justrenovated,fueloil,2,Brussels
house,725000,1040,installed,1911,good,gas,7,Brussels
apartment,169000,1020,hyperequipped,1973,good,gas,1,Brussels
apartment,225000,1090,hyperequipped,1970,justrenovated,gas,2,Brussels
